refSeq_name	chrom	strand	start	end	symbol_name
NR_046018	chr1	+	11873	14409	DDX11L1
NR_024540	chr1	-	14361	29370	WASH7P
NR_106918	chr1	-	17368	17436	MIR6859-1
NR_107062	chr1	-	17368	17436	MIR6859-2
NR_107063	chr1	-	17368	17436	MIR6859-3
NR_128720	chr1	-	17368	17436	MIR6859-4
NR_036051	chr1	+	30365	30503	MIR1302-2
NR_036266	chr1	+	30365	30503	MIR1302-9
NR_036267	chr1	+	30365	30503	MIR1302-10
NR_036268	chr1	+	30365	30503	MIR1302-11
NR_026818	chr1	-	34610	36081	FAM138A
NR_026820	chr1	-	34610	36081	FAM138F
NR_026822	chr1	-	34610	36081	FAM138C
NM_001005484	chr1	+	69090	70008	OR4F5
NR_039983	chr1	-	134772	140566	LOC729737
NR_148357	chr1	+	182387	184878	LOC102725121
NR_106918	chr1	-	187890	187958	MIR6859-1
NR_107062	chr1	-	187890	187958	MIR6859-2
NR_107063	chr1	-	187890	187958	MIR6859-3
NR_128720	chr1	-	187890	187958	MIR6859-4
NR_026823	chr1	-	205128	206597	FAM138D
NM_001005277	chr1	-	450739	451678	OR4F16
NM_001005224	chr1	-	450739	451678	OR4F3
NM_001005221	chr1	-	450739	451678	OR4F29
NR_028322	chr1	-	490755	495445	LOC100132287
NR_028325	chr1	-	490755	495445	LOC100132062
NR_125957	chr1	-	627379	629009	LOC101928626
NR_106781	chr1	-	632324	632413	MIR6723
NM_001005277	chr1	-	685715	686654	OR4F16
NM_001005224	chr1	-	685715	686654	OR4F3
NM_001005221	chr1	-	685715	686654	OR4F29
NR_028327	chr1	-	725758	730351	LOC100133331
NR_033908	chr1	-	764864	778688	LOC100288069
NR_103536	chr1	+	817370	819834	FAM87B
NR_024321	chr1	-	826205	827522	LINC00115
NR_047526	chr1	+	827590	843604	LINC01128
NR_047524	chr1	+	827590	859446	LINC01128
NR_047523	chr1	+	827590	859446	LINC01128
NR_047521	chr1	+	827590	859446	LINC01128
NR_047519	chr1	+	827590	859446	LINC01128
NR_047525	chr1	+	827797	859446	LINC01128
NR_027055	chr1	-	868070	876802	FAM41C
NR_026874	chr1	-	916817	919692	LOC100130417
NR_122045	chr1	-	916817	919692	LOC100130417
NM_152486	chr1	+	925740	944581	SAMD11
NM_015658	chr1	-	944202	959299	NOC2L
NM_198317	chr1	+	960586	965719	KLHL17
NM_001160184	chr1	+	966496	975104	PLEKHN1
NM_032129	chr1	+	966496	975104	PLEKHN1
NM_001291367	chr1	-	975198	982117	PERM1
NM_001291366	chr1	-	975198	982117	PERM1
NM_021170	chr1	-	998961	1000172	HES4
NM_001142467	chr1	-	998963	1000172	HES4
NM_005101	chr1	+	1013466	1014539	ISG15
NM_001305275	chr1	+	1020122	1056119	AGRN
NM_198576	chr1	+	1020122	1056119	AGRN
NR_148960	chr1	+	1059733	1066453	LOC100288175
NM_001205252	chr1	-	1071745	1074307	RNF223
NM_001330306	chr1	-	1081817	1116356	C1orf159
NM_017891	chr1	-	1081817	1116356	C1orf159
NR_038869	chr1	+	1137016	1144054	LINC01342
NR_029639	chr1	+	1167103	1167198	MIR200B
NR_029834	chr1	+	1167862	1167952	MIR200A
NR_029957	chr1	+	1169004	1169087	MIR429
NM_001130045	chr1	+	1173905	1197933	TTLL10
NM_153254	chr1	+	1179696	1185863	TTLL10
NM_148901	chr1	-	1203507	1206709	TNFRSF18
NM_148902	chr1	-	1203507	1206709	TNFRSF18
NM_004195	chr1	-	1203507	1206709	TNFRSF18
NM_003327	chr1	-	1211325	1214168	TNFRSF4
NM_016176	chr1	-	1216907	1232067	SDF4
NM_016547	chr1	-	1216907	1232067	SDF4
NM_080605	chr1	+	1232248	1235040	B3GALT6
NM_001014980	chr1	-	1242445	1246722	C1QTNF12
NM_058167	chr1	-	1253911	1273854	UBE2J2
NM_194458	chr1	-	1253911	1273854	UBE2J2
NM_194457	chr1	-	1253911	1273854	UBE2J2
NM_194315	chr1	-	1253911	1273854	UBE2J2
NR_037668	chr1	+	1280435	1292029	SCNN1D
NM_001130413	chr1	+	1280435	1292029	SCNN1D
NM_030649	chr1	-	1292383	1307889	ACAP3
NR_106784	chr1	-	1296109	1296170	MIR6726
NR_145806	chr1	-	1304728	1304812	SNORD167
NR_144369	chr1	+	1308579	1311677	PUSL1
NM_153339	chr1	+	1308579	1311677	PUSL1
NM_001346116	chr1	+	1308579	1311677	PUSL1
NM_001256462	chr1	-	1311584	1324687	INTS11
NM_001256460	chr1	-	1311584	1324687	INTS11
NM_001256456	chr1	-	1311584	1324687	INTS11
NM_017871	chr1	-	1311584	1324687	INTS11
NM_001256463	chr1	-	1311584	1324687	INTS11
NR_106785	chr1	-	1312501	1312566	MIR6727
NM_001029885	chr1	+	1324762	1328896	CPTP
NM_152228	chr1	+	1331345	1335320	TAS1R3
NM_004421	chr1	-	1335277	1349112	DVL1
NM_001330311	chr1	-	1335277	1349112	DVL1
NR_106866	chr1	-	1339649	1339708	MIR6808
NM_001282585	chr1	-	1352688	1358547	MXRA8
NM_001282584	chr1	-	1352688	1358794	MXRA8
NM_032348	chr1	-	1352688	1358794	MXRA8
NM_001282583	chr1	-	1352688	1361777	MXRA8
NM_001282582	chr1	-	1352688	1363541	MXRA8
NM_001127229	chr1	-	1373729	1375200	AURKAIP1
NM_017900	chr1	-	1373729	1375438	AURKAIP1
NM_001127230	chr1	-	1373730	1375182	AURKAIP1
NM_001350497	chr1	-	1385710	1398342	CCNL2
NR_135154	chr1	-	1385710	1399338	CCNL2
NR_146722	chr1	-	1385710	1399342	CCNL2
NR_146723	chr1	-	1385710	1399342	CCNL2
NM_001320155	chr1	-	1385710	1399342	CCNL2
NM_001350500	chr1	-	1385710	1399342	CCNL2
NM_030937	chr1	-	1385710	1399342	CCNL2
NM_001320153	chr1	-	1385710	1399342	CCNL2
NM_001350499	chr1	-	1385710	1399342	CCNL2
NM_001350498	chr1	-	1385710	1399342	CCNL2
NM_001039577	chr1	-	1392287	1399342	CCNL2
NR_015434	chr1	+	1399529	1402046	LOC148413
NM_017971	chr1	-	1401895	1407313	MRPL20
NM_001318485	chr1	-	1401908	1407313	MRPL20
NM_001243536	chr1	-	1418419	1421444	ANKRD65
NM_001243535	chr1	-	1418419	1421444	ANKRD65
NM_001145210	chr1	-	1418419	1421444	ANKRD65
NM_001146685	chr1	+	1426127	1427787	TMEM88B
NR_125994	chr1	-	1430156	1434573	LINC01770
NR_125995	chr1	-	1430156	1434573	LINC01770
NR_125996	chr1	-	1430156	1434573	LINC01770
NM_022834	chr1	+	1435522	1442882	VWA1
NM_199121	chr1	+	1435522	1442882	VWA1
NM_001039211	chr1	+	1449688	1470158	ATAD3C
NM_031921	chr1	+	1471754	1496204	ATAD3B
NM_001317238	chr1	+	1478114	1496204	ATAD3B
NM_001170535	chr1	+	1512142	1534687	ATAD3A
NM_018188	chr1	+	1512142	1534687	ATAD3A
NM_001170536	chr1	+	1512529	1534687	ATAD3A
NM_001114748	chr1	-	1534777	1540360	TMEM240
NM_014188	chr1	-	1541672	1574882	SSU72
NM_001242659	chr1	-	1598007	1600096	FNDC10
NR_147951	chr1	+	1599432	1607210	LOC105378586
NM_080875	chr1	+	1615414	1630610	MIB2
NM_001170687	chr1	+	1615414	1630610	MIB2
NM_001170688	chr1	+	1615414	1630610	MIB2
NM_001170686	chr1	+	1615414	1630610	MIB2
NR_033183	chr1	+	1615414	1630610	MIB2
NR_146324	chr1	+	1615864	1617322	MIB2
NM_001170689	chr1	+	1615864	1630610	MIB2
NM_006983	chr1	+	1632180	1634654	MMP23B
NR_002946	chr1	+	1632779	1634651	MMP23A
NM_001787	chr1	-	1635225	1659097	CDK11B
NM_033487	chr1	-	1635225	1659097	CDK11B
NM_033490	chr1	-	1635225	1659097	CDK11B
NM_033489	chr1	-	1635225	1659097	CDK11B
NM_033486	chr1	-	1635225	1659097	CDK11B
NM_001291345	chr1	-	1635225	1659097	CDK11B
NM_001290264	chr1	-	1661477	1692804	SLC35E2B
NM_001110781	chr1	-	1661477	1692804	SLC35E2B
NR_002946	chr1	+	1699938	1701808	MMP23A
NR_132740	chr1	-	1702383	1724565	CDK11A
NM_024011	chr1	-	1702383	1724565	CDK11A
NR_132739	chr1	-	1702383	1724565	CDK11A
NM_033529	chr1	-	1702383	1724565	CDK11A
NM_001313982	chr1	-	1702383	1724565	CDK11A
NM_001313896	chr1	-	1702383	1724565	CDK11A
NM_001199787	chr1	-	1724837	1745999	SLC35E2A
NM_182838	chr1	-	1727384	1745999	SLC35E2A
NM_001198995	chr1	-	1751231	1758642	NADK
NM_023018	chr1	-	1751231	1778470	NADK
NM_001353642	chr1	-	1751231	1778489	NADK
NM_001198993	chr1	-	1751231	1778858	NADK
NM_001198994	chr1	-	1751231	1780069	NADK
NM_001353641	chr1	-	1751231	1780147	NADK
NM_001282539	chr1	-	1785284	1891117	GNB1
NM_001282538	chr1	-	1785284	1891117	GNB1
NM_002074	chr1	-	1785284	1891117	GNB1
NM_138705	chr1	+	1914826	1917294	CALML6
NM_001330313	chr1	+	1914826	1917294	CALML6
NM_178545	chr1	-	1917589	1919301	TMEM52
NM_001304360	chr1	-	1921950	2003837	CFAP74
NM_000815	chr1	+	2019328	2030753	GABRD
NR_135509	chr1	-	2049200	2050070	LOC105378591
NM_002744	chr1	+	2050469	2185399	PRKCZ
NM_001350804	chr1	+	2073461	2185399	PRKCZ
NM_001350806	chr1	+	2073461	2185399	PRKCZ
NM_001350803	chr1	+	2073461	2185399	PRKCZ
NR_146911	chr1	+	2073461	2185399	PRKCZ
NM_001033581	chr1	+	2073461	2185399	PRKCZ
NM_001350805	chr1	+	2073985	2185399	PRKCZ
NM_001242874	chr1	+	2073985	2185399	PRKCZ
NM_001033582	chr1	+	2104715	2185399	PRKCZ
NR_146290	chr1	-	2181793	2183875	PRKCZ-AS1
NM_001282673	chr1	-	2184459	2194775	FAAP20
NM_001282672	chr1	-	2184459	2194775	FAAP20
NM_001256945	chr1	-	2184459	2194775	FAAP20
NM_001282671	chr1	-	2184459	2194775	FAAP20
NM_001146310	chr1	-	2184459	2207733	FAAP20
NR_046427	chr1	-	2189548	2194775	FAAP20
NM_001256947	chr1	-	2189548	2194775	FAAP20
NM_182533	chr1	-	2189548	2194775	FAAP20
NM_001282670	chr1	-	2189548	2212720	FAAP20
NM_001256946	chr1	-	2191894	2194775	FAAP20
NM_003036	chr1	+	2228694	2310213	SKI
NM_024848	chr1	-	2321252	2391751	MORN1
NR_024489	chr1	-	2350414	2352661	LOC100129534
NM_001301060	chr1	-	2355174	2391751	MORN1
NR_125361	chr1	-	2374853	2391751	MORN1
NM_007033	chr1	+	2391774	2405446	RER1
NM_002617	chr1	-	2404801	2412571	PEX10
NM_153818	chr1	-	2404801	2412571	PEX10
NM_001303012	chr1	+	2467458	2505530	PLCH2
NM_001303013	chr1	+	2476314	2505530	PLCH2
NM_014638	chr1	+	2476314	2505530	PLCH2
